provider,doses,filed_date,report_date
Primary Care,2546050,2022-01-06,2022-01-10
Tribal Health Sites,93621,2022-01-06,2022-01-10
Other,278887,2022-01-06,2022-01-10
Pharmacy,3175538,2022-01-05,2022-01-07
Hospital,510522,2022-01-05,2022-01-07
Primary Care,2536982,2022-01-05,2022-01-07
Tribal Health Sites,93472,2022-01-05,2022-01-07
Public Health,898705,2022-01-05,2022-01-07
Other,278471,2022-01-05,2022-01-07
Community Vaccinator,1055811,2022-01-05,2022-01-07
Specialty,275524,2022-01-05,2022-01-07
Pharmacy,3163875,2022-01-04,2022-01-06
Hospital,510263,2022-01-04,2022-01-06
Primary Care,2529486,2022-01-04,2022-01-06
Tribal Health Sites,93319,2022-01-04,2022-01-06
Public Health,897162,2022-01-04,2022-01-06
Other,278024,2022-01-04,2022-01-06
Community Vaccinator,1054497,2022-01-04,2022-01-06
Specialty,275398,2022-01-04,2022-01-06
Primary Care,2520524,2022-01-03,2022-01-05
Pharmacy,3156379,2022-01-03,2022-01-05
Community Vaccinator,1053970,2022-01-03,2022-01-05
Public Health,896710,2022-01-03,2022-01-05
Other,277681,2022-01-03,2022-01-05
Hospital,509870,2022-01-03,2022-01-05
Tribal Health Sites,93168,2022-01-03,2022-01-05
Specialty,275085,2022-01-03,2022-01-05
Pharmacy,3149672,2022-01-02,2022-01-04
Tribal Health Sites,93095,2022-01-02,2022-01-04
Primary Care,2511593,2022-01-02,2022-01-04
Public Health,895812,2022-01-02,2022-01-04
Other,277213,2022-01-02,2022-01-04
Hospital,509695,2022-01-02,2022-01-04
Community Vaccinator,1053093,2022-01-02,2022-01-04
Specialty,274926,2022-01-02,2022-01-04
Public Health,894900,2021-12-29,2022-01-03
Pharmacy,3116064,2021-12-29,2022-01-03
Primary Care,2498539,2021-12-29,2022-01-03
Community Vaccinator,1049830,2021-12-29,2022-01-03
Hospital,508919,2021-12-29,2022-01-03
Other,276266,2021-12-29,2022-01-03
Tribal Health Sites,92823,2021-12-29,2022-01-03
Specialty,274504,2021-12-29,2022-01-03
Public Health,893891,2021-12-28,2021-12-30
Pharmacy,3106319,2021-12-28,2021-12-30
Primary Care,2487631,2021-12-28,2021-12-30
Community Vaccinator,1047042,2021-12-28,2021-12-30
Hospital,508349,2021-12-28,2021-12-30
Other,275572,2021-12-28,2021-12-30
Tribal Health Sites,92556,2021-12-28,2021-12-30
Specialty,274286,2021-12-28,2021-12-30
Primary Care,2478215,2021-12-27,2021-12-29
Pharmacy,3096514,2021-12-27,2021-12-29
Community Vaccinator,1046071,2021-12-27,2021-12-29
Public Health,892232,2021-12-27,2021-12-29
Other,275169,2021-12-27,2021-12-29
Hospital,508068,2021-12-27,2021-12-29
Tribal Health Sites,92386,2021-12-27,2021-12-29
Specialty,274052,2021-12-27,2021-12-29
Pharmacy,3084521,2021-12-26,2021-12-28
Primary Care,2469488,2021-12-26,2021-12-28
Specialty,273862,2021-12-26,2021-12-28
Hospital,507763,2021-12-26,2021-12-28
Other,274703,2021-12-26,2021-12-28
Public Health,892000,2021-12-26,2021-12-28
Community Vaccinator,1045098,2021-12-26,2021-12-28
Tribal Health Sites,92301,2021-12-26,2021-12-28
Primary Care,2457622,2021-12-22,2021-12-27
Pharmacy,3059579,2021-12-22,2021-12-27
Public Health,890648,2021-12-22,2021-12-27
Community Vaccinator,1043000,2021-12-22,2021-12-27
Other,273686,2021-12-22,2021-12-27
Hospital,507074,2021-12-22,2021-12-27
Tribal Health Sites,92141,2021-12-22,2021-12-27
Specialty,273542,2021-12-22,2021-12-27
Hospital,506357,2021-12-21,2021-12-23
Primary Care,2445019,2021-12-21,2021-12-23
Public Health,888202,2021-12-21,2021-12-23
Pharmacy,3047145,2021-12-21,2021-12-23
Community Vaccinator,1040353,2021-12-21,2021-12-23
Tribal Health Sites,91862,2021-12-21,2021-12-23
Other,272543,2021-12-21,2021-12-23
Specialty,273223,2021-12-21,2021-12-23
Primary Care,2420863,2021-12-19,2021-12-21
Community Vaccinator,1037222,2021-12-19,2021-12-21
Pharmacy,3023804,2021-12-19,2021-12-21
Specialty,272297,2021-12-19,2021-12-21
Public Health,884324,2021-12-19,2021-12-21
Other,270421,2021-12-19,2021-12-21
Tribal Health Sites,91464,2021-12-19,2021-12-21
Hospital,505273,2021-12-19,2021-12-21
Hospital,504764,2021-12-16,2021-12-20
Primary Care,2405534,2021-12-16,2021-12-20
Public Health,882354,2021-12-16,2021-12-20
Pharmacy,2985771,2021-12-16,2021-12-20
Community Vaccinator,1029889,2021-12-16,2021-12-20
Other,268722,2021-12-16,2021-12-20
Specialty,271822,2021-12-16,2021-12-20
Tribal Health Sites,91003,2021-12-16,2021-12-20
Public Health,879954,2021-12-15,2021-12-17
Pharmacy,2972916,2021-12-15,2021-12-17
Primary Care,2393373,2021-12-15,2021-12-17
Community Vaccinator,1026955,2021-12-15,2021-12-17
Hospital,504184,2021-12-15,2021-12-17
Other,267760,2021-12-15,2021-12-17
Tribal Health Sites,90807,2021-12-15,2021-12-17
Specialty,271120,2021-12-15,2021-12-17
Primary Care,2380701,2021-12-14,2021-12-16
Pharmacy,2958808,2021-12-14,2021-12-16
Public Health,874958,2021-12-14,2021-12-16
Community Vaccinator,1024118,2021-12-14,2021-12-16
Other,266253,2021-12-14,2021-12-16
Hospital,503389,2021-12-14,2021-12-16
Tribal Health Sites,90517,2021-12-14,2021-12-16
Specialty,270738,2021-12-14,2021-12-16
Primary Care,2368351,2021-12-13,2021-12-15
Pharmacy,2944432,2021-12-13,2021-12-15
Public Health,873794,2021-12-13,2021-12-15
Community Vaccinator,1022506,2021-12-13,2021-12-15
Other,265176,2021-12-13,2021-12-15
Hospital,502904,2021-12-13,2021-12-15
Tribal Health Sites,90113,2021-12-13,2021-12-15
Specialty,270228,2021-12-13,2021-12-15
Primary Care,2355973,2021-12-12,2021-12-14
Community Vaccinator,1020328,2021-12-12,2021-12-14
Pharmacy,2930119,2021-12-12,2021-12-14
Specialty,269912,2021-12-12,2021-12-14
Public Health,871992,2021-12-12,2021-12-14
Other,263026,2021-12-12,2021-12-14
Tribal Health Sites,89839,2021-12-12,2021-12-14
Hospital,502422,2021-12-12,2021-12-14
Primary Care,2337416,2021-12-09,2021-12-13
Pharmacy,2879928,2021-12-09,2021-12-13
Public Health,868500,2021-12-09,2021-12-13
Community Vaccinator,1013479,2021-12-09,2021-12-13
Other,261395,2021-12-09,2021-12-13
Hospital,501665,2021-12-09,2021-12-13
Tribal Health Sites,89389,2021-12-09,2021-12-13
Specialty,269297,2021-12-09,2021-12-13
Pharmacy,2877697,2021-12-08,2021-12-10
Primary Care,2322003,2021-12-08,2021-12-10
Other,260584,2021-12-08,2021-12-10
Public Health,865051,2021-12-08,2021-12-10
Tribal Health Sites,89076,2021-12-08,2021-12-10
Community Vaccinator,1010719,2021-12-08,2021-12-10
Specialty,268330,2021-12-08,2021-12-10
Hospital,500736,2021-12-08,2021-12-10
Public Health,860317,2021-12-07,2021-12-09
Pharmacy,2856677,2021-12-07,2021-12-09
Primary Care,2306487,2021-12-07,2021-12-09
Community Vaccinator,1007913,2021-12-07,2021-12-09
Hospital,500001,2021-12-07,2021-12-09
Other,259311,2021-12-07,2021-12-09
Tribal Health Sites,88567,2021-12-07,2021-12-09
Specialty,267823,2021-12-07,2021-12-09
Primary Care,2294421,2021-12-06,2021-12-08
Pharmacy,2841435,2021-12-06,2021-12-08
Public Health,858009,2021-12-06,2021-12-08
Community Vaccinator,1005608,2021-12-06,2021-12-08
Other,258553,2021-12-06,2021-12-08
Hospital,499446,2021-12-06,2021-12-08
Tribal Health Sites,88329,2021-12-06,2021-12-08
Specialty,267295,2021-12-06,2021-12-08
Primary Care,2277980,2021-12-05,2021-12-07
Community Vaccinator,1004122,2021-12-05,2021-12-07
Pharmacy,2830129,2021-12-05,2021-12-07
Specialty,266995,2021-12-05,2021-12-07
Public Health,857028,2021-12-05,2021-12-07
Other,257371,2021-12-05,2021-12-07
Tribal Health Sites,88096,2021-12-05,2021-12-07
Hospital,499039,2021-12-05,2021-12-07
Primary Care,2257249,2021-12-02,2021-12-06
Pharmacy,2782294,2021-12-02,2021-12-06
Public Health,853378,2021-12-02,2021-12-06
Community Vaccinator,996985,2021-12-02,2021-12-06
Other,254611,2021-12-02,2021-12-06
Hospital,498195,2021-12-02,2021-12-06
Tribal Health Sites,87584,2021-12-02,2021-12-06
Specialty,266289,2021-12-02,2021-12-06
Primary Care,2241633,2021-12-01,2021-12-03
Pharmacy,2750477,2021-12-01,2021-12-03
Public Health,849814,2021-12-01,2021-12-03
Community Vaccinator,994215,2021-12-01,2021-12-03
Other,252936,2021-12-01,2021-12-03
Hospital,497157,2021-12-01,2021-12-03
Tribal Health Sites,87285,2021-12-01,2021-12-03
Specialty,265088,2021-12-01,2021-12-03
Primary Care,2227658,2021-11-30,2021-12-02
Pharmacy,2731588,2021-11-30,2021-12-02
Public Health,845407,2021-11-30,2021-12-02
Community Vaccinator,990988,2021-11-30,2021-12-02
Other,251489,2021-11-30,2021-12-02
Hospital,496098,2021-11-30,2021-12-02
Tribal Health Sites,86738,2021-11-30,2021-12-02
Specialty,264595,2021-11-30,2021-12-02
Primary Care,2214181,2021-11-29,2021-12-01
Pharmacy,2716628,2021-11-29,2021-12-01
Public Health,842009,2021-11-29,2021-12-01
Community Vaccinator,988312,2021-11-29,2021-12-01
Other,250299,2021-11-29,2021-12-01
Hospital,495382,2021-11-29,2021-12-01
Tribal Health Sites,86431,2021-11-29,2021-12-01
Specialty,263902,2021-11-29,2021-12-01
Hospital,494727,2021-11-28,2021-11-30
Primary Care,2199792,2021-11-28,2021-11-30
Public Health,841283,2021-11-28,2021-11-30
Pharmacy,2703466,2021-11-28,2021-11-30
Community Vaccinator,987021,2021-11-28,2021-11-30
Other,249169,2021-11-28,2021-11-30
Specialty,263488,2021-11-28,2021-11-30
Tribal Health Sites,86062,2021-11-28,2021-11-30
Primary Care,2176530,2021-11-23,2021-11-26
Pharmacy,2646824,2021-11-23,2021-11-26
Public Health,836775,2021-11-23,2021-11-26
Community Vaccinator,981130,2021-11-23,2021-11-26
Other,246080,2021-11-23,2021-11-26
Hospital,493201,2021-11-23,2021-11-26
Tribal Health Sites,85604,2021-11-23,2021-11-26
Specialty,262717,2021-11-23,2021-11-26
Primary Care,2162741,2021-11-22,2021-11-24
Pharmacy,2628619,2021-11-22,2021-11-24
Public Health,834945,2021-11-22,2021-11-24
Community Vaccinator,980400,2021-11-22,2021-11-24
Other,244740,2021-11-22,2021-11-24
Hospital,492409,2021-11-22,2021-11-24
Tribal Health Sites,85104,2021-11-22,2021-11-24
Specialty,262239,2021-11-22,2021-11-24
Primary Care,2147971,2021-11-21,2021-11-23
Hospital,491737,2021-11-21,2021-11-23
Other,241914,2021-11-21,2021-11-23
Pharmacy,2615799,2021-11-21,2021-11-23
Community Vaccinator,976619,2021-11-21,2021-11-23
Public Health,832457,2021-11-21,2021-11-23
Tribal Health Sites,84812,2021-11-21,2021-11-23
Specialty,261941,2021-11-21,2021-11-23
Primary Care,2128322,2021-11-18,2021-11-22
Community Vaccinator,969851,2021-11-18,2021-11-22
Pharmacy,2554707,2021-11-18,2021-11-22
Specialty,261113,2021-11-18,2021-11-22
Tribal Health Sites,84107,2021-11-18,2021-11-22
Public Health,827999,2021-11-18,2021-11-22
Hospital,491078,2021-11-18,2021-11-22
Other,239964,2021-11-18,2021-11-22
Primary Care,2113427,2021-11-17,2021-11-19
Hospital,490012,2021-11-17,2021-11-19
Other,238362,2021-11-17,2021-11-19
Pharmacy,2535453,2021-11-17,2021-11-19
Community Vaccinator,967940,2021-11-17,2021-11-19
Public Health,823923,2021-11-17,2021-11-19
Tribal Health Sites,83402,2021-11-17,2021-11-19
Specialty,260163,2021-11-17,2021-11-19
Primary Care,2099346,2021-11-16,2021-11-18
Pharmacy,2517856,2021-11-16,2021-11-18
Public Health,819362,2021-11-16,2021-11-18
Community Vaccinator,962997,2021-11-16,2021-11-18
Other,237326,2021-11-16,2021-11-18
Hospital,489248,2021-11-16,2021-11-18
Tribal Health Sites,82930,2021-11-16,2021-11-18
Specialty,259764,2021-11-16,2021-11-18
Primary Care,2086708,2021-11-15,2021-11-17
Pharmacy,2496746,2021-11-15,2021-11-17
Public Health,817732,2021-11-15,2021-11-17
Community Vaccinator,961636,2021-11-15,2021-11-17
Other,236695,2021-11-15,2021-11-17
Tribal Health Sites,82547,2021-11-15,2021-11-17
Hospital,488802,2021-11-15,2021-11-17
Specialty,259380,2021-11-15,2021-11-17
Primary Care,2074600,2021-11-14,2021-11-16
Pharmacy,2477264,2021-11-14,2021-11-16
Public Health,816401,2021-11-14,2021-11-16
Community Vaccinator,960851,2021-11-14,2021-11-16
Other,235031,2021-11-14,2021-11-16
Tribal Health Sites,82437,2021-11-14,2021-11-16
Hospital,488243,2021-11-14,2021-11-16
Specialty,259176,2021-11-14,2021-11-16
Primary Care,2055273,2021-11-11,2021-11-15
Pharmacy,2419773,2021-11-11,2021-11-15
Public Health,812912,2021-11-11,2021-11-15
Community Vaccinator,956638,2021-11-11,2021-11-15
Other,233719,2021-11-11,2021-11-15
Tribal Health Sites,82118,2021-11-11,2021-11-15
Hospital,487769,2021-11-11,2021-11-15
Specialty,258481,2021-11-11,2021-11-15
Pharmacy,2403046,2021-11-10,2021-11-12
Tribal Health Sites,81995,2021-11-10,2021-11-12
Primary Care,2041605,2021-11-10,2021-11-12
Public Health,812271,2021-11-10,2021-11-12
Other,233056,2021-11-10,2021-11-12
Hospital,486731,2021-11-10,2021-11-12
Community Vaccinator,955280,2021-11-10,2021-11-12
Specialty,257635,2021-11-10,2021-11-12
Primary Care,2029254,2021-11-09,2021-11-11
Hospital,486616,2021-11-09,2021-11-11
Other,232231,2021-11-09,2021-11-11
Pharmacy,2384209,2021-11-09,2021-11-11
Community Vaccinator,953412,2021-11-09,2021-11-11
Public Health,808531,2021-11-09,2021-11-11
Tribal Health Sites,81433,2021-11-09,2021-11-11
Specialty,257197,2021-11-09,2021-11-11
Primary Care,2016727,2021-11-08,2021-11-10
Public Health,806285,2021-11-08,2021-11-10
Community Vaccinator,952648,2021-11-08,2021-11-10
Other,231026,2021-11-08,2021-11-10
Pharmacy,2365003,2021-11-08,2021-11-10
Hospital,485897,2021-11-08,2021-11-10
Specialty,256636,2021-11-08,2021-11-10
Tribal Health Sites,81281,2021-11-08,2021-11-10
Primary Care,2005158,2021-11-07,2021-11-09
Community Vaccinator,951362,2021-11-07,2021-11-09
Other,230394,2021-11-07,2021-11-09
Pharmacy,2355578,2021-11-07,2021-11-09
Hospital,485196,2021-11-07,2021-11-09
Specialty,256387,2021-11-07,2021-11-09
Public Health,804425,2021-11-07,2021-11-09
Tribal Health Sites,81095,2021-11-07,2021-11-09
Pharmacy,2304894,2021-11-04,2021-11-08
Hospital,484720,2021-11-04,2021-11-08
Public Health,800124,2021-11-04,2021-11-08
Primary Care,1992318,2021-11-04,2021-11-08
Community Vaccinator,947395,2021-11-04,2021-11-08
Other,229639,2021-11-04,2021-11-08
Tribal Health Sites,80504,2021-11-04,2021-11-08
Specialty,255976,2021-11-04,2021-11-08
Primary Care,1981546,2021-11-03,2021-11-05
Community Vaccinator,945164,2021-11-03,2021-11-05
Other,228452,2021-11-03,2021-11-05
Pharmacy,2306173,2021-11-03,2021-11-05
Hospital,483823,2021-11-03,2021-11-05
Specialty,255631,2021-11-03,2021-11-05
Public Health,796820,2021-11-03,2021-11-05
Tribal Health Sites,80043,2021-11-03,2021-11-05
Primary Care,1972199,2021-11-02,2021-11-04
Hospital,483051,2021-11-02,2021-11-04
Community Vaccinator,944852,2021-11-02,2021-11-04
Pharmacy,2293587,2021-11-02,2021-11-04
Tribal Health Sites,79806,2021-11-02,2021-11-04
Public Health,794429,2021-11-02,2021-11-04
Specialty,255378,2021-11-02,2021-11-04
Other,225002,2021-11-02,2021-11-04
Primary Care,1963107,2021-11-01,2021-11-03
Pharmacy,2280516,2021-11-01,2021-11-03
Community Vaccinator,944211,2021-11-01,2021-11-03
Hospital,482173,2021-11-01,2021-11-03
Other,224430,2021-11-01,2021-11-03
Specialty,255015,2021-11-01,2021-11-03
Public Health,793283,2021-11-01,2021-11-03
Tribal Health Sites,79603,2021-11-01,2021-11-03
Community Vaccinator,943472,2021-10-31,2021-11-02
Public Health,792951,2021-10-31,2021-11-02
Pharmacy,2271176,2021-10-31,2021-11-02
Other,223803,2021-10-31,2021-11-02
Primary Care,1955211,2021-10-31,2021-11-02
Specialty,254857,2021-10-31,2021-11-02
Hospital,481532,2021-10-31,2021-11-02
Tribal Health Sites,79503,2021-10-31,2021-11-02
Community Vaccinator,942598,2021-10-28,2021-11-01
Public Health,791007,2021-10-28,2021-11-01
Pharmacy,2225241,2021-10-28,2021-11-01
Other,222591,2021-10-28,2021-11-01
Primary Care,1944619,2021-10-28,2021-11-01
Specialty,254459,2021-10-28,2021-11-01
Hospital,480464,2021-10-28,2021-11-01
Tribal Health Sites,78484,2021-10-28,2021-11-01
Pharmacy,2204384,2021-10-27,2021-10-29
Primary Care,1936218,2021-10-27,2021-10-29
Tribal Health Sites,78336,2021-10-27,2021-10-29
Public Health,789021,2021-10-27,2021-10-29
Other,221584,2021-10-27,2021-10-29
Hospital,480011,2021-10-27,2021-10-29
Specialty,254060,2021-10-27,2021-10-29
Community Vaccinator,942500,2021-10-27,2021-10-29
Pharmacy,2191947,2021-10-26,2021-10-28
Tribal Health Sites,78070,2021-10-26,2021-10-28
Primary Care,1926816,2021-10-26,2021-10-28
Public Health,788102,2021-10-26,2021-10-28
Other,221095,2021-10-26,2021-10-28
Hospital,479302,2021-10-26,2021-10-28
Community Vaccinator,942334,2021-10-26,2021-10-28
Specialty,253837,2021-10-26,2021-10-28
Community Vaccinator,941993,2021-10-25,2021-10-27
Public Health,787926,2021-10-25,2021-10-27
Pharmacy,2173044,2021-10-25,2021-10-27
Other,220145,2021-10-25,2021-10-27
Primary Care,1918483,2021-10-25,2021-10-27
Hospital,478475,2021-10-25,2021-10-27
Specialty,253501,2021-10-25,2021-10-27
Tribal Health Sites,77944,2021-10-25,2021-10-27
Pharmacy,2163090,2021-10-24,2021-10-26
Primary Care,1910459,2021-10-24,2021-10-26
Tribal Health Sites,77831,2021-10-24,2021-10-26
Public Health,787388,2021-10-24,2021-10-26
Other,216510,2021-10-24,2021-10-26
Hospital,477901,2021-10-24,2021-10-26
Community Vaccinator,941497,2021-10-24,2021-10-26
Specialty,253299,2021-10-24,2021-10-26
Pharmacy,2134241,2021-10-21,2021-10-25
Tribal Health Sites,77638,2021-10-21,2021-10-25
Primary Care,1903000,2021-10-21,2021-10-25
Public Health,786978,2021-10-21,2021-10-25
Other,215253,2021-10-21,2021-10-25
Hospital,477545,2021-10-21,2021-10-25
Community Vaccinator,940707,2021-10-21,2021-10-25
Specialty,252899,2021-10-21,2021-10-25
Pharmacy,2126469,2021-10-20,2021-10-22
Tribal Health Sites,77526,2021-10-20,2021-10-22
Primary Care,1895887,2021-10-20,2021-10-22
Public Health,786574,2021-10-20,2021-10-22
Other,214428,2021-10-20,2021-10-22
Hospital,477033,2021-10-20,2021-10-22
Community Vaccinator,940459,2021-10-20,2021-10-22
Specialty,252507,2021-10-20,2021-10-22
Pharmacy,2120031,2021-10-19,2021-10-21
Tribal Health Sites,77413,2021-10-19,2021-10-21
Primary Care,1889885,2021-10-19,2021-10-21
Public Health,786240,2021-10-19,2021-10-21
Other,212332,2021-10-19,2021-10-21
Hospital,476439,2021-10-19,2021-10-21
Community Vaccinator,940361,2021-10-19,2021-10-21
Specialty,252301,2021-10-19,2021-10-21
Community Vaccinator,940314,2021-10-18,2021-10-20
Public Health,785956,2021-10-18,2021-10-20
Pharmacy,2114606,2021-10-18,2021-10-20
Other,211703,2021-10-18,2021-10-20
Primary Care,1884085,2021-10-18,2021-10-20
Hospital,476010,2021-10-18,2021-10-20
Specialty,252004,2021-10-18,2021-10-20
Tribal Health Sites,77259,2021-10-18,2021-10-20
Primary Care,1878090,2021-10-17,2021-10-19
Community Vaccinator,940003,2021-10-17,2021-10-19
Public Health,785884,2021-10-17,2021-10-19
Other,210763,2021-10-17,2021-10-19
Pharmacy,2108873,2021-10-17,2021-10-19
Specialty,251840,2021-10-17,2021-10-19
Hospital,475617,2021-10-17,2021-10-19
Tribal Health Sites,77226,2021-10-17,2021-10-19
Primary Care,1870955,2021-10-14,2021-10-18
Pharmacy,2088600,2021-10-14,2021-10-18
Public Health,785319,2021-10-14,2021-10-18
Community Vaccinator,939355,2021-10-14,2021-10-18
Other,207099,2021-10-14,2021-10-18
Hospital,474977,2021-10-14,2021-10-18
Tribal Health Sites,77104,2021-10-14,2021-10-18
Specialty,251625,2021-10-14,2021-10-18
Public Health,784295,2021-10-13,2021-10-15
Pharmacy,2082021,2021-10-13,2021-10-15
Primary Care,1864212,2021-10-13,2021-10-15
Hospital,474404,2021-10-13,2021-10-15
Community Vaccinator,939240,2021-10-13,2021-10-15
Tribal Health Sites,76967,2021-10-13,2021-10-15
Specialty,251305,2021-10-13,2021-10-15
Other,205754,2021-10-13,2021-10-15
Primary Care,1857254,2021-10-12,2021-10-14
Pharmacy,2075206,2021-10-12,2021-10-14
Public Health,784154,2021-10-12,2021-10-14
Community Vaccinator,939025,2021-10-12,2021-10-14
Other,203732,2021-10-12,2021-10-14
Hospital,473409,2021-10-12,2021-10-14
Tribal Health Sites,76775,2021-10-12,2021-10-14
Specialty,251104,2021-10-12,2021-10-14
Public Health,783942,2021-10-11,2021-10-13
Pharmacy,2067802,2021-10-11,2021-10-13
Primary Care,1850505,2021-10-11,2021-10-13
Hospital,472679,2021-10-11,2021-10-13
Community Vaccinator,938908,2021-10-11,2021-10-13
Tribal Health Sites,76736,2021-10-11,2021-10-13
Specialty,250655,2021-10-11,2021-10-13
Other,202858,2021-10-11,2021-10-13
Primary Care,1844924,2021-10-10,2021-10-12
Pharmacy,2063044,2021-10-10,2021-10-12
Public Health,783731,2021-10-10,2021-10-12
Community Vaccinator,938477,2021-10-10,2021-10-12
Other,200837,2021-10-10,2021-10-12
Hospital,472572,2021-10-10,2021-10-12
Tribal Health Sites,76711,2021-10-10,2021-10-12
Specialty,250573,2021-10-10,2021-10-12
Public Health,783264,2021-10-07,2021-10-11
Pharmacy,2043658,2021-10-07,2021-10-11
Primary Care,1837399,2021-10-07,2021-10-11
Hospital,471760,2021-10-07,2021-10-11
Community Vaccinator,937867,2021-10-07,2021-10-11
Tribal Health Sites,76337,2021-10-07,2021-10-11
Specialty,250358,2021-10-07,2021-10-11
Other,198911,2021-10-07,2021-10-11
Hospital,470674,2021-10-06,2021-10-08
Primary Care,1830158,2021-10-06,2021-10-08
Pharmacy,2025479,2021-10-06,2021-10-08
Public Health,782771,2021-10-06,2021-10-08
Community Vaccinator,937718,2021-10-06,2021-10-08
Other,197115,2021-10-06,2021-10-08
Specialty,249804,2021-10-06,2021-10-08
Tribal Health Sites,76195,2021-10-06,2021-10-08
Primary Care,1823452,2021-10-05,2021-10-07
Pharmacy,2000099,2021-10-05,2021-10-07
Public Health,781808,2021-10-05,2021-10-07
Community Vaccinator,937583,2021-10-05,2021-10-07
Other,195522,2021-10-05,2021-10-07
Hospital,469766,2021-10-05,2021-10-07
Tribal Health Sites,76070,2021-10-05,2021-10-07
Specialty,249596,2021-10-05,2021-10-07
Public Health,781740,2021-10-04,2021-10-06
Pharmacy,1995007,2021-10-04,2021-10-06
Primary Care,1816965,2021-10-04,2021-10-06
Community Vaccinator,937320,2021-10-04,2021-10-06
Hospital,469047,2021-10-04,2021-10-06
Tribal Health Sites,75980,2021-10-04,2021-10-06
Specialty,249221,2021-10-04,2021-10-06
Other,194096,2021-10-04,2021-10-06
Public Health,781509,2021-10-03,2021-10-05
Pharmacy,1989646,2021-10-03,2021-10-05
Primary Care,1810646,2021-10-03,2021-10-05
Other,192521,2021-10-03,2021-10-05
Tribal Health Sites,75875,2021-10-03,2021-10-05
Hospital,468306,2021-10-03,2021-10-05
Specialty,249147,2021-10-03,2021-10-05
Community Vaccinator,936968,2021-10-03,2021-10-05
Primary Care,1802962,2021-09-30,2021-10-04
Public Health,780825,2021-09-30,2021-10-04
Pharmacy,1969110,2021-09-30,2021-10-04
Community Vaccinator,936432,2021-09-30,2021-10-04
Other,191982,2021-09-30,2021-10-04
Hospital,467486,2021-09-30,2021-10-04
Tribal Health Sites,75453,2021-09-30,2021-10-04
Specialty,248860,2021-09-30,2021-10-04
Community vaccinator,12,2021-09-22,2021-10-01
Hospital,154,2021-09-22,2021-10-01
Local public health,82,2021-09-22,2021-10-01
Other,78,2021-09-22,2021-10-01
Pharmacy,692,2021-09-22,2021-10-01
Primary care,328,2021-09-22,2021-10-01
Specialty,33,2021-09-22,2021-10-01
Tribal health sites,10,2021-09-22,2021-10-01
Primary Care,1785805,2021-09-28,2021-09-30
Public Health,780256,2021-09-28,2021-09-30
Pharmacy,1960612,2021-09-28,2021-09-30
Community Vaccinator,936291,2021-09-28,2021-09-30
Other,190259,2021-09-28,2021-09-30
Hospital,465492,2021-09-28,2021-09-30
Tribal Health Sites,75182,2021-09-28,2021-09-30
Specialty,248335,2021-09-28,2021-09-30
Primary Care,1778745,2021-09-27,2021-09-29
Community Vaccinator,936195,2021-09-27,2021-09-29
Public Health,779776,2021-09-27,2021-09-29
Pharmacy,1955483,2021-09-27,2021-09-29
Other,189949,2021-09-27,2021-09-29
Specialty,248039,2021-09-27,2021-09-29
Hospital,464683,2021-09-27,2021-09-29
Tribal Health Sites,75025,2021-09-27,2021-09-29
Primary Care,1772900,2021-09-26,2021-09-28
Public Health,779741,2021-09-26,2021-09-28
Pharmacy,1947828,2021-09-26,2021-09-28
Community Vaccinator,935993,2021-09-26,2021-09-28
Other,189784,2021-09-26,2021-09-28
Hospital,463983,2021-09-26,2021-09-28
Tribal Health Sites,74998,2021-09-26,2021-09-28
Specialty,247959,2021-09-26,2021-09-28
Primary Care,1767793,2021-09-23,2021-09-27
Specialty,247820,2021-09-23,2021-09-27
Community Vaccinator,935579,2021-09-23,2021-09-27
Other,189565,2021-09-23,2021-09-27
Pharmacy,1928885,2021-09-23,2021-09-27
Hospital,463676,2021-09-23,2021-09-27
Public Health,779098,2021-09-23,2021-09-27
Tribal Health Sites,74784,2021-09-23,2021-09-27
Primary Care,1763902,2021-09-22,2021-09-24
Public Health,778475,2021-09-22,2021-09-24
Community Vaccinator,935482,2021-09-22,2021-09-24
Other,189401,2021-09-22,2021-09-24
Pharmacy,1926151,2021-09-22,2021-09-24
Hospital,463447,2021-09-22,2021-09-24
Tribal Health Sites,74608,2021-09-22,2021-09-24
Specialty,247559,2021-09-22,2021-09-24
Primary Care,1760470,2021-09-21,2021-09-23
Public Health,778067,2021-09-21,2021-09-23
Community Vaccinator,935316,2021-09-21,2021-09-23
Other,189191,2021-09-21,2021-09-23
Pharmacy,1924029,2021-09-21,2021-09-23
Hospital,463261,2021-09-21,2021-09-23
Tribal Health Sites,74557,2021-09-21,2021-09-23
Specialty,247467,2021-09-21,2021-09-23
Primary Care,1757032,2021-09-20,2021-09-22
Public Health,777547,2021-09-20,2021-09-22
Community Vaccinator,935123,2021-09-20,2021-09-22
Other,189007,2021-09-20,2021-09-22
Pharmacy,1920251,2021-09-20,2021-09-22
Hospital,463066,2021-09-20,2021-09-22
Tribal Health Sites,74425,2021-09-20,2021-09-22
Specialty,247330,2021-09-20,2021-09-22
Hospital,462910,2021-09-19,2021-09-21
Primary Care,1754190,2021-09-19,2021-09-21
Pharmacy,1917559,2021-09-19,2021-09-21
Public Health,777454,2021-09-19,2021-09-21
Community Vaccinator,934868,2021-09-19,2021-09-21
Other,188839,2021-09-19,2021-09-21
Specialty,247257,2021-09-19,2021-09-21
