category,doses,filed_date,report_date
Total Pfizer doses administered,4629297,2021-11-28,2021-11-30
Total Moderna doses administered,2879707,2021-11-28,2021-11-30
Total Johnson & Johnson doses administered,314148,2021-11-28,2021-11-30
Total Unknown/missing vaccine type,1856,2021-11-28,2021-11-30
Total vaccine doses administered,7728861,2021-11-23,2021-11-26
Total Pfizer doses administered,4574020,2021-11-23,2021-11-26
Total Moderna doses administered,2840782,2021-11-23,2021-11-26
Total Johnson & Johnson doses administered,312229,2021-11-23,2021-11-26
Total Unknown/missing vaccine type,1830,2021-11-23,2021-11-26
Total vaccine doses administered,7691197,2021-11-22,2021-11-24
Total Pfizer doses administered,4552902,2021-11-22,2021-11-24
Total Moderna doses administered,2824999,2021-11-22,2021-11-24
Total Johnson & Johnson doses administered,311479,2021-11-22,2021-11-24
Total Unknown/missing vaccine type,1817,2021-11-22,2021-11-24
Total vaccine doses administered,7653250,2021-11-21,2021-11-23
Total Pfizer doses administered,4529967,2021-11-21,2021-11-23
Total Moderna doses administered,2810689,2021-11-21,2021-11-23
Total Johnson & Johnson doses administered,310797,2021-11-21,2021-11-23
Total Unknown/missing vaccine type,1797,2021-11-21,2021-11-23
Total vaccine doses administered,7557141,2021-11-18,2021-11-22
Total Pfizer doses administered,4477373,2021-11-18,2021-11-22
Total Moderna doses administered,2769538,2021-11-18,2021-11-22
Total Johnson & Johnson doses administered,308445,2021-11-18,2021-11-22
Total Unknown/missing vaccine type,1785,2021-11-18,2021-11-22
Total vaccine doses administered,7512682,2021-11-17,2021-11-19
Total Pfizer doses administered,4453014,2021-11-17,2021-11-19
Total Moderna doses administered,2750332,2021-11-17,2021-11-19
Total Johnson & Johnson doses administered,307606,2021-11-17,2021-11-19
Total Unknown/missing vaccine type,1730,2021-11-17,2021-11-19
Total vaccine doses administered,7468829,2021-11-16,2021-11-18
Total Pfizer doses administered,4428308,2021-11-16,2021-11-18
Total Moderna doses administered,2732061,2021-11-16,2021-11-18
Total Johnson & Johnson doses administered,306733,2021-11-16,2021-11-18
Total Unknown/missing vaccine type,1727,2021-11-16,2021-11-18
Total vaccine doses administered,7430246,2021-11-15,2021-11-17
Total Pfizer doses administered,4406386,2021-11-15,2021-11-17
Total Moderna doses administered,2716232,2021-11-15,2021-11-17
Total Johnson & Johnson doses administered,305912,2021-11-15,2021-11-17
Total Unknown/missing vaccine type,1716,2021-11-15,2021-11-17
Total vaccine doses administered,7394003,2021-11-14,2021-11-16
Total Pfizer doses administered,4382468,2021-11-14,2021-11-16
Total Moderna doses administered,2704561,2021-11-14,2021-11-16
Total Johnson & Johnson doses administered,305250,2021-11-14,2021-11-16
Total Unknown/missing vaccine type,1724,2021-11-14,2021-11-16
Total vaccine doses administered,7306683,2021-11-11,2021-11-15
Total Pfizer doses administered,4341086,2021-11-11,2021-11-15
Total Moderna doses administered,2660163,2021-11-11,2021-11-15
Total Johnson & Johnson doses administered,303711,2021-11-11,2021-11-15
Total Unknown/missing vaccine type,1723,2021-11-11,2021-11-15
Total vaccine doses administered,7271619,2021-11-10,2021-11-12
Total Pfizer doses administered,4321496,2021-11-10,2021-11-12
Total Moderna doses administered,2645453,2021-11-10,2021-11-12
Total Johnson & Johnson doses administered,302966,2021-11-10,2021-11-12
Total Unknown/missing vaccine type,1704,2021-11-10,2021-11-12
Total vaccine doses administered,7232883,2021-11-09,2021-11-11
Total Pfizer doses administered,4300677,2021-11-09,2021-11-11
Total Moderna doses administered,2628436,2021-11-09,2021-11-11
Total Johnson & Johnson doses administered,302081,2021-11-09,2021-11-11
Total Unknown/missing vaccine type,1689,2021-11-09,2021-11-11
Total vaccine doses administered,7195503,2021-11-08,2021-11-10
Total Pfizer doses administered,4281194,2021-11-08,2021-11-10
Total Moderna doses administered,2611349,2021-11-08,2021-11-10
Total Johnson & Johnson doses administered,301282,2021-11-08,2021-11-10
Total Unknown/missing vaccine type,1678,2021-11-08,2021-11-10
Total vaccine doses administered,7169595,2021-11-07,2021-11-09
Total Pfizer doses administered,4267509,2021-11-07,2021-11-09
Total Moderna doses administered,2599876,2021-11-07,2021-11-09
Total Johnson & Johnson doses administered,300545,2021-11-07,2021-11-09
Total Unknown/missing vaccine type,1665,2021-11-07,2021-11-09
Total vaccine doses administered,7095570,2021-11-04,2021-11-08
Total Pfizer doses administered,4231472,2021-11-04,2021-11-08
Total Moderna doses administered,2563567,2021-11-04,2021-11-08
Total Johnson & Johnson doses administered,298877,2021-11-04,2021-11-08
Total Unknown/missing vaccine type,1654,2021-11-04,2021-11-08
Total vaccine doses administered,7077652,2021-11-03,2021-11-05
Total Pfizer doses administered,4216796,2021-11-03,2021-11-05
Total Moderna doses administered,2561006,2021-11-03,2021-11-05
Total Johnson & Johnson doses administered,298169,2021-11-03,2021-11-05
Total Unknown/missing vaccine type,1681,2021-11-03,2021-11-05
Total vaccine doses administered,7048304,2021-11-02,2021-11-04
Total Pfizer doses administered,4202634,2021-11-02,2021-11-04
Total Moderna doses administered,2546904,2021-11-02,2021-11-04
Total Johnson & Johnson doses administered,297074,2021-11-02,2021-11-04
Total Unknown/missing vaccine type,1692,2021-11-02,2021-11-04
Total vaccine doses administered,7022338,2021-11-01,2021-11-03
Total Pfizer doses administered,4190630,2021-11-01,2021-11-03
Total Moderna doses administered,2533638,2021-11-01,2021-11-03
Total Johnson & Johnson doses administered,296385,2021-11-01,2021-11-03
Total Unknown/missing vaccine type,1685,2021-11-01,2021-11-03
Total vaccine doses administered,7002505,2021-10-31,2021-11-02
Total Pfizer doses administered,4181552,2021-10-31,2021-11-02
Total Moderna doses administered,2523535,2021-10-31,2021-11-02
Total Johnson & Johnson doses administered,295751,2021-10-31,2021-11-02
Total Unknown/missing vaccine type,1667,2021-10-31,2021-11-02
Total vaccine doses administered,6939463,2021-10-28,2021-11-01
Total Pfizer doses administered,4155267,2021-10-28,2021-11-01
Total Moderna doses administered,2488500,2021-10-28,2021-11-01
Total Johnson & Johnson doses administered,294062,2021-10-28,2021-11-01
Total Unknown/missing vaccine type,1634,2021-10-28,2021-11-01
Total vaccine doses administered,6906114,2021-10-27,2021-10-29
Total Pfizer doses administered,4140201,2021-10-27,2021-10-29
Total Moderna doses administered,2471242,2021-10-27,2021-10-29
Total Johnson & Johnson doses administered,293048,2021-10-27,2021-10-29
Total Unknown/missing vaccine type,1623,2021-10-27,2021-10-29
Total vaccine doses administered,6881503,2021-10-26,2021-10-28
Total Pfizer doses administered,4128345,2021-10-26,2021-10-28
Total Moderna doses administered,2458914,2021-10-26,2021-10-28
Total Johnson & Johnson doses administered,292626,2021-10-26,2021-10-28
Total Unknown/missing vaccine type,1618,2021-10-26,2021-10-28
Total vaccine doses administered,6851511,2021-10-25,2021-10-27
Total Pfizer doses administered,4112115,2021-10-25,2021-10-27
Total Moderna doses administered,2445751,2021-10-25,2021-10-27
Total Johnson & Johnson doses administered,292035,2021-10-25,2021-10-27
Total Unknown/missing vaccine type,1610,2021-10-25,2021-10-27
Total vaccine doses administered,6827975,2021-10-24,2021-10-26
Total Pfizer doses administered,4097539,2021-10-24,2021-10-26
Total Moderna doses administered,2437234,2021-10-24,2021-10-26
Total Johnson & Johnson doses administered,291597,2021-10-24,2021-10-26
Total Unknown/missing vaccine type,1605,2021-10-24,2021-10-26
Total vaccine doses administered,6788261,2021-10-21,2021-10-25
Total Pfizer doses administered,4073396,2021-10-21,2021-10-25
Total Moderna doses administered,2422403,2021-10-21,2021-10-25
Total Johnson & Johnson doses administered,290863,2021-10-21,2021-10-25
Total Unknown/missing vaccine type,1599,2021-10-21,2021-10-25
Total vaccine doses administered,6770883,2021-10-20,2021-10-22
Total Pfizer doses administered,4057934,2021-10-20,2021-10-22
Total Moderna doses administered,2420730,2021-10-20,2021-10-22
Total Johnson & Johnson doses administered,290530,2021-10-20,2021-10-22
Total Unknown/missing vaccine type,1689,2021-10-20,2021-10-22
Total vaccine doses administered,6755002,2021-10-19,2021-10-21
Total Pfizer doses administered,4043640,2021-10-19,2021-10-21
Total Moderna doses administered,2419426,2021-10-19,2021-10-21
Total Johnson & Johnson doses administered,290271,2021-10-19,2021-10-21
Total Unknown/missing vaccine type,1665,2021-10-19,2021-10-21
Total vaccine doses administered,6741937,2021-10-18,2021-10-20
Total Pfizer doses administered,4031410,2021-10-18,2021-10-20
Total Moderna doses administered,2418803,2021-10-18,2021-10-20
Total Johnson & Johnson doses administered,290084,2021-10-18,2021-10-20
Total Unknown/missing vaccine type,1640,2021-10-18,2021-10-20
Total vaccine doses administered,6728296,2021-10-17,2021-10-19
Total Pfizer doses administered,4019173,2021-10-17,2021-10-19
Total Moderna doses administered,2417660,2021-10-17,2021-10-19
Total Johnson & Johnson doses administered,289872,2021-10-17,2021-10-19
Total Unknown/missing vaccine type,1591,2021-10-17,2021-10-19
Total vaccine doses administered,6695034,2021-10-14,2021-10-18
Total Pfizer doses administered,3989133,2021-10-14,2021-10-18
Total Moderna doses administered,2415159,2021-10-14,2021-10-18
Total Johnson & Johnson doses administered,289252,2021-10-14,2021-10-18
Total Unknown/missing vaccine type,1490,2021-10-14,2021-10-18
Total vaccine doses administered,6678198,2021-10-13,2021-10-15
Total Pfizer doses administered,3973861,2021-10-13,2021-10-15
Total Moderna doses administered,2413824,2021-10-13,2021-10-15
Total Johnson & Johnson doses administered,289031,2021-10-13,2021-10-15
Total Unknown/missing vaccine type,1482,2021-10-13,2021-10-15
Total vaccine doses administered,6660659,2021-10-12,2021-10-14
Total Pfizer doses administered,3957818,2021-10-12,2021-10-14
Total Moderna doses administered,2412515,2021-10-12,2021-10-14
Total Johnson & Johnson doses administered,288851,2021-10-12,2021-10-14
Total Unknown/missing vaccine type,1475,2021-10-12,2021-10-14
Total vaccine doses administered,6644085,2021-10-11,2021-10-13
Total Pfizer doses administered,3942728,2021-10-11,2021-10-13
Total Moderna doses administered,2411171,2021-10-11,2021-10-13
Total Johnson & Johnson doses administered,288717,2021-10-11,2021-10-13
Total Unknown/missing vaccine type,1469,2021-10-11,2021-10-13
Total vaccine doses administered,6630869,2021-10-10,2021-10-12
Total Pfizer doses administered,3930601,2021-10-10,2021-10-12
Total Moderna doses administered,2410220,2021-10-10,2021-10-12
Total Johnson & Johnson doses administered,288578,2021-10-10,2021-10-12
Total Unknown/missing vaccine type,1470,2021-10-10,2021-10-12
Total vaccine doses administered,6599554,2021-10-07,2021-10-11
Total Pfizer doses administered,3902310,2021-10-07,2021-10-11
Total Moderna doses administered,2407666,2021-10-07,2021-10-11
Total Johnson & Johnson doses administered,288121,2021-10-07,2021-10-11
Total Unknown/missing vaccine type,1457,2021-10-07,2021-10-11
Total vaccine doses administered,6569914,2021-10-06,2021-10-08
Total Pfizer doses administered,3874791,2021-10-06,2021-10-08
Total Moderna doses administered,2406222,2021-10-06,2021-10-08
Total Johnson & Johnson doses administered,287440,2021-10-06,2021-10-08
Total Unknown/missing vaccine type,1461,2021-10-06,2021-10-08
Total vaccine doses administered,6533896,2021-10-05,2021-10-07
Total Pfizer doses administered,3842449,2021-10-05,2021-10-07
Total Moderna doses administered,2402834,2021-10-05,2021-10-07
Total Johnson & Johnson doses administered,287163,2021-10-05,2021-10-07
Total Unknown/missing vaccine type,1450,2021-10-05,2021-10-07
Total vaccine doses administered,6519376,2021-10-04,2021-10-06
Total Pfizer doses administered,3828368,2021-10-04,2021-10-06
Total Moderna doses administered,2402553,2021-10-04,2021-10-06
Total Johnson & Johnson doses administered,287014,2021-10-04,2021-10-06
Total Unknown/missing vaccine type,1441,2021-10-04,2021-10-06
Total vaccine doses administered,6504618,2021-10-03,2021-10-05
Total Pfizer doses administered,3814794,2021-10-03,2021-10-05
Total Moderna doses administered,2401540,2021-10-03,2021-10-05
Total Johnson & Johnson doses administered,286854,2021-10-03,2021-10-05
Total Unknown/missing vaccine type,1430,2021-10-03,2021-10-05
Total vaccine doses administered,6473110,2021-09-30,2021-10-04
Total Pfizer doses administered,3785945,2021-09-30,2021-10-04
Total Moderna doses administered,2399260,2021-09-30,2021-10-04
Total Johnson & Johnson doses administered,286487,2021-09-30,2021-10-04
Total Unknown/missing vaccine type,1418,2021-09-30,2021-10-04
Total vaccine doses administered,6458044,2021-09-29,2021-10-01
Total Pfizer doses administered,3772528,2021-09-29,2021-10-01
Total Moderna doses administered,2397852,2021-09-29,2021-10-01
Total Johnson & Johnson doses administered,286264,2021-09-29,2021-10-01
Total Unknown/missing vaccine type,1400,2021-09-29,2021-10-01
Total vaccine doses administered,6442232,2021-09-28,2021-09-30
Total Pfizer doses administered,3758358,2021-09-28,2021-09-30
Total Moderna doses administered,2396474,2021-09-28,2021-09-30
Total Johnson & Johnson doses administered,286000,2021-09-28,2021-09-30
Total Unknown/missing vaccine type,1400,2021-09-28,2021-09-30
Total vaccine doses administered,6427895,2021-09-27,2021-09-29
Total Pfizer doses administered,3744844,2021-09-27,2021-09-29
Total Moderna doses administered,2395852,2021-09-27,2021-09-29
Total Johnson & Johnson doses administered,285808,2021-09-27,2021-09-29
Total Unknown/missing vaccine type,1391,2021-09-27,2021-09-29
Total vaccine doses administered,6413186,2021-09-26,2021-09-28
Total Pfizer doses administered,3731692,2021-09-26,2021-09-28
Total Moderna doses administered,2394526,2021-09-26,2021-09-28
Total Johnson & Johnson doses administered,285579,2021-09-26,2021-09-28
Total Unknown/missing vaccine type,1389,2021-09-26,2021-09-28
Total vaccine doses administered,6387200,2021-09-23,2021-09-27
Total Pfizer doses administered,3709863,2021-09-23,2021-09-27
Total Moderna doses administered,2390742,2021-09-23,2021-09-27
Total Johnson & Johnson doses administered,285212,2021-09-23,2021-09-27
Total Unknown/missing vaccine type,1383,2021-09-23,2021-09-27
Total vaccine doses administered,6379025,2021-09-22,2021-09-24
Total Pfizer doses administered,3703823,2021-09-22,2021-09-24
Total Moderna doses administered,2388848,2021-09-22,2021-09-24
Total Johnson & Johnson doses administered,284969,2021-09-22,2021-09-24
Total Unknown/missing vaccine type,1385,2021-09-22,2021-09-24
Total vaccine doses administered,6372358,2021-09-21,2021-09-23
Total Pfizer doses administered,3699001,2021-09-21,2021-09-23
Total Moderna doses administered,2387257,2021-09-21,2021-09-23
Total Johnson & Johnson doses administered,284718,2021-09-21,2021-09-23
Total Unknown/missing vaccine type,1382,2021-09-21,2021-09-23
Total vaccine doses administered,6363781,2021-09-20,2021-09-22
Total Pfizer doses administered,3692923,2021-09-20,2021-09-22
Total Moderna doses administered,2385110,2021-09-20,2021-09-22
Total Johnson & Johnson doses administered,284380,2021-09-20,2021-09-22
Total Unknown/missing vaccine type,1368,2021-09-20,2021-09-22
Total vaccine doses administered,6357428,2021-09-19,2021-09-21
Total Pfizer doses administered,3688369,2021-09-19,2021-09-21
Total Moderna doses administered,2383577,2021-09-19,2021-09-21
Total Johnson & Johnson doses administered,284114,2021-09-19,2021-09-21
Total Unknown/missing vaccine type,1368,2021-09-19,2021-09-21
Total vaccine doses administered,6340399,2021-09-16,2021-09-20
Total Pfizer doses administered,3676503,2021-09-16,2021-09-20
Total Moderna doses administered,2379278,2021-09-16,2021-09-20
Total Johnson & Johnson doses administered,283259,2021-09-16,2021-09-20
Total Unknown/missing vaccine type,1359,2021-09-16,2021-09-20
Total vaccine doses administered,6329527,2021-09-15,2021-09-17
Total Pfizer doses administered,3668620,2021-09-15,2021-09-17
Total Moderna doses administered,2376744,2021-09-15,2021-09-17
Total Johnson & Johnson doses administered,282805,2021-09-15,2021-09-17
Total Unknown/missing vaccine type,1358,2021-09-15,2021-09-17
Total vaccine doses administered,6320203,2021-09-14,2021-09-16
Total Pfizer doses administered,3662060,2021-09-14,2021-09-16
Total Moderna doses administered,2374344,2021-09-14,2021-09-16
Total Johnson & Johnson doses administered,282447,2021-09-14,2021-09-16
Total Unknown/missing vaccine type,1352,2021-09-14,2021-09-16
Total vaccine doses administered,6312286,2021-09-13,2021-09-15
Total Pfizer doses administered,3656233,2021-09-13,2021-09-15
Total Moderna doses administered,2372643,2021-09-13,2021-09-15
Total Johnson & Johnson doses administered,282062,2021-09-13,2021-09-15
Total Unknown/missing vaccine type,1348,2021-09-13,2021-09-15
Total vaccine doses administered,6305107,2021-09-12,2021-09-14
Total Pfizer doses administered,3651015,2021-09-12,2021-09-14
Total Moderna doses administered,2370898,2021-09-12,2021-09-14
Total Johnson & Johnson doses administered,281845,2021-09-12,2021-09-14
Total Unknown/missing vaccine type,1349,2021-09-12,2021-09-14
Total vaccine doses administered,6284567,2021-09-09,2021-09-13
Total Pfizer doses administered,3636748,2021-09-09,2021-09-13
Total Moderna doses administered,2365367,2021-09-09,2021-09-13
Total Johnson & Johnson doses administered,281115,2021-09-09,2021-09-13
Total Unknown/missing vaccine type,1337,2021-09-09,2021-09-13
Total vaccine doses administered,6274211,2021-09-08,2021-09-10
Total Pfizer doses administered,3629298,2021-09-08,2021-09-10
Total Moderna doses administered,2362692,2021-09-08,2021-09-10
Total Johnson & Johnson doses administered,280891,2021-09-08,2021-09-10
Total Unknown/missing vaccine type,1330,2021-09-08,2021-09-10
Total vaccine doses administered,6262798,2021-09-07,2021-09-09
Total Pfizer doses administered,3621092,2021-09-07,2021-09-09
Total Moderna doses administered,2359759,2021-09-07,2021-09-09
Total Johnson & Johnson doses administered,280629,2021-09-07,2021-09-09
Total Unknown/missing vaccine type,1318,2021-09-07,2021-09-09
Total vaccine doses administered,6256511,2021-09-06,2021-09-08
Total Pfizer doses administered,3616082,2021-09-06,2021-09-08
Total Moderna doses administered,2358654,2021-09-06,2021-09-08
Total Johnson & Johnson doses administered,280463,2021-09-06,2021-09-08
Total Unknown/missing vaccine type,1312,2021-09-06,2021-09-08
Total vaccine doses administered,6229876,2021-09-02,2021-09-07
Total Pfizer doses administered,3596065,2021-09-02,2021-09-07
Total Moderna doses administered,2352924,2021-09-02,2021-09-07
Total Johnson & Johnson doses administered,279578,2021-09-02,2021-09-07
Total Unknown/missing vaccine type,1309,2021-09-02,2021-09-07
Total vaccine doses administered,6216804,2021-09-01,2021-09-03
Total Pfizer doses administered,3586073,2021-09-01,2021-09-03
Total Moderna doses administered,2350172,2021-09-01,2021-09-03
Total Johnson & Johnson doses administered,279250,2021-09-01,2021-09-03
Total Unknown/missing vaccine type,1309,2021-09-01,2021-09-03
Total vaccine doses administered,6203888,2021-08-31,2021-09-02
Total Pfizer doses administered,3576095,2021-08-31,2021-09-02
Total Moderna doses administered,2347568,2021-08-31,2021-09-02
Total Johnson & Johnson doses administered,278927,2021-08-31,2021-09-02
Total Unknown/missing vaccine type,1298,2021-08-31,2021-09-02
Total vaccine doses administered,6190997,2021-08-30,2021-09-01
Total Pfizer doses administered,3567003,2021-08-30,2021-09-01
Total Moderna doses administered,2344201,2021-08-30,2021-09-01
Total Johnson & Johnson doses administered,278501,2021-08-30,2021-09-01
Total Unknown/missing vaccine type,1292,2021-08-30,2021-09-01
Total vaccine doses administered,6181806,2021-08-29,2021-08-31
Total Pfizer doses administered,3559853,2021-08-29,2021-08-31
Total Moderna doses administered,2342502,2021-08-29,2021-08-31
Total Johnson & Johnson doses administered,278161,2021-08-29,2021-08-31
Total Unknown/missing vaccine type,1290,2021-08-29,2021-08-31
Total vaccine doses administered,6158644,2021-08-26,2021-08-30
Total Pfizer doses administered,3542123,2021-08-26,2021-08-30
Total Moderna doses administered,2337876,2021-08-26,2021-08-30
Total Johnson & Johnson doses administered,277375,2021-08-26,2021-08-30
Total Unknown/missing vaccine type,1270,2021-08-26,2021-08-30
Total vaccine doses administered,6145255,2021-08-25,2021-08-27
Total Pfizer doses administered,3531498,2021-08-25,2021-08-27
Total Moderna doses administered,2335448,2021-08-25,2021-08-27
Total Johnson & Johnson doses administered,277034,2021-08-25,2021-08-27
Total Unknown/missing vaccine type,1275,2021-08-25,2021-08-27
Total vaccine doses administered,6132627,2021-08-24,2021-08-26
Total Pfizer doses administered,3521592,2021-08-24,2021-08-26
Total Moderna doses administered,2332994,2021-08-24,2021-08-26
Total Johnson & Johnson doses administered,276774,2021-08-24,2021-08-26
Total Unknown/missing vaccine type,1267,2021-08-24,2021-08-26
Total vaccine doses administered,6120500,2021-08-23,2021-08-25
Total Pfizer doses administered,3511982,2021-08-23,2021-08-25
Total Moderna doses administered,2330848,2021-08-23,2021-08-25
Total Johnson & Johnson doses administered,276416,2021-08-23,2021-08-25
Total Unknown/missing vaccine type,1254,2021-08-23,2021-08-25
Total vaccine doses administered,6112088,2021-08-22,2021-08-24
Total Pfizer doses administered,3505442,2021-08-22,2021-08-24
Total Moderna doses administered,2329247,2021-08-22,2021-08-24
Total Johnson & Johnson doses administered,276147,2021-08-22,2021-08-24
Total Unknown/missing vaccine type,1252,2021-08-22,2021-08-24
Total vaccine doses administered,6089217,2021-08-19,2021-08-23
Total Pfizer doses administered,3488426,2021-08-19,2021-08-23
Total Moderna doses administered,2323993,2021-08-19,2021-08-23
Total Johnson & Johnson doses administered,275550,2021-08-19,2021-08-23
Total Unknown/missing vaccine type,1248,2021-08-19,2021-08-23
Total vaccine doses administered,6076644,2021-08-18,2021-08-20
Total Pfizer doses administered,3479153,2021-08-18,2021-08-20
Total Moderna doses administered,2321168,2021-08-18,2021-08-20
Total Johnson & Johnson doses administered,275080,2021-08-18,2021-08-20
Total Unknown/missing vaccine type,1243,2021-08-18,2021-08-20
Total vaccine doses administered,6065563,2021-08-17,2021-08-19
Total Pfizer doses administered,3470669,2021-08-17,2021-08-19
Total Moderna doses administered,2319309,2021-08-17,2021-08-19
Total Johnson & Johnson doses administered,274602,2021-08-17,2021-08-19
Total Unknown/missing vaccine type,983,2021-08-17,2021-08-19
Total vaccine doses administered,6054186,2021-08-16,2021-08-18
Total Pfizer doses administered,3462738,2021-08-16,2021-08-18
Total Moderna doses administered,2316742,2021-08-16,2021-08-18
Total Johnson & Johnson doses administered,274101,2021-08-16,2021-08-18
Total Unknown/missing vaccine type,605,2021-08-16,2021-08-18
Total vaccine doses administered,6044915,2021-08-15,2021-08-17
Total Pfizer doses administered,3456184,2021-08-15,2021-08-17
Total Moderna doses administered,2314816,2021-08-15,2021-08-17
Total Johnson & Johnson doses administered,273646,2021-08-15,2021-08-17
Total Unknown/missing vaccine type,269,2021-08-15,2021-08-17
Total vaccine doses administered,6022016,2021-08-12,2021-08-16
Total Pfizer doses administered,3439615,2021-08-12,2021-08-16
Total Moderna doses administered,2309451,2021-08-12,2021-08-16
Total Johnson & Johnson doses administered,272692,2021-08-12,2021-08-16
Total Unknown/missing vaccine type,258,2021-08-12,2021-08-16
Total vaccine doses administered,6010902,2021-08-11,2021-08-13
Total Pfizer doses administered,3431304,2021-08-11,2021-08-13
Total Moderna doses administered,2307470,2021-08-11,2021-08-13
Total Johnson & Johnson doses administered,271885,2021-08-11,2021-08-13
Total Unknown/missing vaccine type,243,2021-08-11,2021-08-13
Total vaccine doses administered,6000974,2021-08-10,2021-08-12
Total Pfizer doses administered,3423587,2021-08-10,2021-08-12
Total Moderna doses administered,2305946,2021-08-10,2021-08-12
Total Johnson & Johnson doses administered,271202,2021-08-10,2021-08-12
Total Unknown/missing vaccine type,239,2021-08-10,2021-08-12
Total vaccine doses administered,5994064,2021-08-09,2021-08-11
Total Pfizer doses administered,3418056,2021-08-09,2021-08-11
Total Moderna doses administered,2305102,2021-08-09,2021-08-11
Total Johnson & Johnson doses administered,270672,2021-08-09,2021-08-11
Total Unknown/missing vaccine type,234,2021-08-09,2021-08-11
Total vaccine doses administered,5986205,2021-08-08,2021-08-10
Total Pfizer doses administered,3412495,2021-08-08,2021-08-10
Total Moderna doses administered,2303301,2021-08-08,2021-08-10
Total Johnson & Johnson doses administered,270177,2021-08-08,2021-08-10
Total Unknown/missing vaccine type,232,2021-08-08,2021-08-10
Total vaccine doses administered,5964918,2021-08-05,2021-08-09
Total Pfizer doses administered,3397035,2021-08-05,2021-08-09
Total Moderna doses administered,2298483,2021-08-05,2021-08-09
Total Johnson & Johnson doses administered,269177,2021-08-05,2021-08-09
Total Unknown/missing vaccine type,223,2021-08-05,2021-08-09
Total vaccine doses administered,5953483,2021-08-04,2021-08-06
Total Pfizer doses administered,3388633,2021-08-04,2021-08-06
Total Moderna doses administered,2296212,2021-08-04,2021-08-06
Total Johnson & Johnson doses administered,268422,2021-08-04,2021-08-06
Total Unknown/missing vaccine type,216,2021-08-04,2021-08-06
Total vaccine doses administered,5942420,2021-08-03,2021-08-05
Total Pfizer doses administered,3380456,2021-08-03,2021-08-05
Total Moderna doses administered,2293886,2021-08-03,2021-08-05
Total Johnson & Johnson doses administered,267863,2021-08-03,2021-08-05
Total Unknown/missing vaccine type,215,2021-08-03,2021-08-05
Total vaccine doses administered,5932301,2021-08-02,2021-08-04
Total Pfizer doses administered,3372995,2021-08-02,2021-08-04
Total Moderna doses administered,2291780,2021-08-02,2021-08-04
Total Johnson & Johnson doses administered,267323,2021-08-02,2021-08-04
Total Unknown/missing vaccine type,203,2021-08-02,2021-08-04
Total vaccine doses administered,5924040,2021-08-01,2021-08-03
Total Pfizer doses administered,3367405,2021-08-01,2021-08-03
Total Moderna doses administered,2289513,2021-08-01,2021-08-03
Total Johnson & Johnson doses administered,266918,2021-08-01,2021-08-03
Total Unknown/missing vaccine type,204,2021-08-01,2021-08-03
Total vaccine doses administered,5905487,2021-07-29,2021-08-02
Total Pfizer doses administered,3353881,2021-07-29,2021-08-02
Total Moderna doses administered,2285367,2021-07-29,2021-08-02
Total Johnson & Johnson doses administered,266039,2021-07-29,2021-08-02
Total Unknown/missing vaccine type,200,2021-07-29,2021-08-02
Total vaccine doses administered,5896269,2021-07-28,2021-07-30
Total Pfizer doses administered,3347175,2021-07-28,2021-07-30
Total Moderna doses administered,2283351,2021-07-28,2021-07-30
Total Johnson & Johnson doses administered,265543,2021-07-28,2021-07-30
Total Unknown/missing vaccine type,200,2021-07-28,2021-07-30
Total vaccine doses administered,5886797,2021-07-27,2021-07-29
Total Pfizer doses administered,3340276,2021-07-27,2021-07-29
Total Moderna doses administered,2281412,2021-07-27,2021-07-29
Total Johnson & Johnson doses administered,264924,2021-07-27,2021-07-29
Total Unknown/missing vaccine type,185,2021-07-27,2021-07-29
Total vaccine doses administered,5876029,2021-07-26,2021-07-28
Total Pfizer doses administered,3332483,2021-07-26,2021-07-28
Total Moderna doses administered,2278884,2021-07-26,2021-07-28
Total Johnson & Johnson doses administered,264468,2021-07-26,2021-07-28
Total Unknown/missing vaccine type,194,2021-07-26,2021-07-28
Total vaccine doses administered,5870709,2021-07-25,2021-07-27
Total Pfizer doses administered,3328669,2021-07-25,2021-07-27
Total Moderna doses administered,2277689,2021-07-25,2021-07-27
Total Johnson & Johnson doses administered,264160,2021-07-25,2021-07-27
Total Unknown/missing vaccine type,191,2021-07-25,2021-07-27
Total vaccine doses administered,5857112,2021-07-22,2021-07-26
Total Pfizer doses administered,3318868,2021-07-22,2021-07-26
Total Moderna doses administered,2274696,2021-07-22,2021-07-26
Total Johnson & Johnson doses administered,263358,2021-07-22,2021-07-26
Total Unknown/missing vaccine type,190,2021-07-22,2021-07-26
Total vaccine doses administered,5848879,2021-07-21,2021-07-23
Total Pfizer doses administered,3313089,2021-07-21,2021-07-23
Total Moderna doses administered,2272873,2021-07-21,2021-07-23
Total Johnson & Johnson doses administered,262738,2021-07-21,2021-07-23
Total Unknown/missing vaccine type,179,2021-07-21,2021-07-23
Total vaccine doses administered,5840768,2021-07-20,2021-07-22
Total Pfizer doses administered,3307218,2021-07-20,2021-07-22
Total Moderna doses administered,2271086,2021-07-20,2021-07-22
Total Johnson & Johnson doses administered,262286,2021-07-20,2021-07-22
Total Unknown/missing vaccine type,178,2021-07-20,2021-07-22
Total vaccine doses administered,5834910,2021-07-19,2021-07-21
Total Pfizer doses administered,3302510,2021-07-19,2021-07-21
Total Moderna doses administered,2270320,2021-07-19,2021-07-21
