age_group,year,week,case_definition,white,black_african_american,american_indian,asian_pacific_islander,multiracial,hispanic,web_date
45-64,2021,8,At least one vaccine dose,0.15,0.163,0.303,0.12300000000000001,0.135,0.085,2022-06-06
19-44,2021,8,At least one vaccine dose,0.133,0.078,0.146,0.098,0.063,0.06,2022-06-06
18-Dec,2021,8,At least one vaccine dose,0.004,0.002,0.005,0.004,0.001,0.003,2022-06-06
12+,2021,8,At least one vaccine dose,0.218,0.11,0.21899999999999997,0.12,0.075,0.07,2022-06-06
65+,2021,8,Completed vaccine series,0.247,0.191,0.451,0.172,0.213,0.16,2022-06-06
45-64,2021,8,Completed vaccine series,0.09300000000000001,0.095,0.17300000000000001,0.084,0.08199999999999999,0.047,2022-06-06
19-44,2021,8,Completed vaccine series,0.08900000000000001,0.046,0.067,0.069,0.039,0.037000000000000005,2022-06-06
18-Dec,2021,8,Completed vaccine series,0.003,0.001,0,0.002,0,0.002,2022-06-06
12+,2021,8,Completed vaccine series,0.115,0.06,0.129,0.071,0.042,0.038,2022-06-06
65+,2021,7,At least one vaccine dose,0.452,0.361,0.57,0.359,0.386,0.31,2022-06-06
11-May,2021,7,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,7,At least one vaccine dose,0.16699999999999998,0.081,0.174,0.09,0.049,0.05,2022-06-06
45-64,2021,7,At least one vaccine dose,0.132,0.145,0.28300000000000003,0.109,0.11900000000000001,0.07200000000000001,2022-06-06
19-44,2021,7,At least one vaccine dose,0.11800000000000001,0.07,0.131,0.08800000000000001,0.055999999999999994,0.053,2022-06-06
18-Dec,2021,7,At least one vaccine dose,0.004,0.002,0.003,0.004,0.001,0.002,2022-06-06
12+,2021,7,At least one vaccine dose,0.182,0.09699999999999999,0.203,0.102,0.064,0.06,2022-06-06
65+,2021,7,Completed vaccine series,0.16899999999999998,0.111,0.385,0.10800000000000001,0.14400000000000002,0.094,2022-06-06
45-64,2021,7,Completed vaccine series,0.077,0.075,0.136,0.07200000000000001,0.067,0.036000000000000004,2022-06-06
19-44,2021,7,Completed vaccine series,0.075,0.037000000000000005,0.052000000000000005,0.059000000000000004,0.032,0.03,2022-06-06
18-Dec,2021,7,Completed vaccine series,0.002,0.001,0,0.001,0,0.001,2022-06-06
12+,2021,7,Completed vaccine series,0.08800000000000001,0.045,0.105,0.057999999999999996,0.033,0.028999999999999998,2022-06-06
65+,2021,6,At least one vaccine dose,0.389,0.306,0.544,0.28600000000000003,0.336,0.261,2022-06-06
11-May,2021,6,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,6,At least one vaccine dose,0.151,0.073,0.159,0.08199999999999999,0.045,0.045,2022-06-06
45-64,2021,6,At least one vaccine dose,0.124,0.133,0.26,0.10300000000000001,0.111,0.066,2022-06-06
19-44,2021,6,At least one vaccine dose,0.113,0.064,0.113,0.084,0.052000000000000005,0.05,2022-06-06
18-Dec,2021,6,At least one vaccine dose,0.004,0.001,0.002,0.003,0.001,0.002,2022-06-06
12+,2021,6,At least one vaccine dose,0.16399999999999998,0.087,0.185,0.09300000000000001,0.059000000000000004,0.054000000000000006,2022-06-06
65+,2021,6,Completed vaccine series,0.081,0.051,0.303,0.044000000000000004,0.08199999999999999,0.040999999999999995,2022-06-06
45-64,2021,6,Completed vaccine series,0.06,0.06,0.1,0.061,0.054000000000000006,0.027999999999999997,2022-06-06
19-44,2021,6,Completed vaccine series,0.061,0.03,0.039,0.05,0.026000000000000002,0.024,2022-06-06
18-Dec,2021,6,Completed vaccine series,0.001,0,0,0.001,0,0.001,2022-06-06
12+,2021,6,Completed vaccine series,0.059000000000000004,0.034,0.08,0.045,0.025,0.021,2022-06-06
65+,2021,5,At least one vaccine dose,0.3,0.239,0.509,0.207,0.258,0.19899999999999998,2022-06-06
11-May,2021,5,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,5,At least one vaccine dose,0.126,0.063,0.139,0.07200000000000001,0.039,0.039,2022-06-06
45-64,2021,5,At least one vaccine dose,0.111,0.11599999999999999,0.225,0.094,0.098,0.057,2022-06-06
19-44,2021,5,At least one vaccine dose,0.10300000000000001,0.057,0.094,0.078,0.046,0.045,2022-06-06
18-Dec,2021,5,At least one vaccine dose,0.003,0.001,0,0.003,0.001,0.002,2022-06-06
12+,2021,5,At least one vaccine dose,0.13699999999999998,0.07400000000000001,0.163,0.081,0.05,0.047,2022-06-06
65+,2021,5,Completed vaccine series,0.032,0.03,0.23,0.021,0.047,0.019,2022-06-06
45-64,2021,5,Completed vaccine series,0.046,0.047,0.07400000000000001,0.052000000000000005,0.043,0.021,2022-06-06
19-44,2021,5,Completed vaccine series,0.049,0.023,0.028999999999999998,0.040999999999999995,0.02,0.018000000000000002,2022-06-06
18-Dec,2021,5,Completed vaccine series,0.001,0,0,0.001,0,0.001,2022-06-06
12+,2021,5,Completed vaccine series,0.04,0.025,0.06,0.036000000000000004,0.019,0.015,2022-06-06
65+,2021,4,At least one vaccine dose,0.209,0.16899999999999998,0.45399999999999996,0.14400000000000002,0.184,0.134,2022-06-06
11-May,2021,4,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,4,At least one vaccine dose,0.098,0.05,0.114,0.061,0.031,0.031,2022-06-06
45-64,2021,4,At least one vaccine dose,0.092,0.096,0.182,0.08199999999999999,0.08199999999999999,0.046,2022-06-06
19-44,2021,4,At least one vaccine dose,0.08800000000000001,0.047,0.07,0.069,0.039,0.037000000000000005,2022-06-06
18-Dec,2021,4,At least one vaccine dose,0.003,0.001,0,0.002,0,0.002,2022-06-06
12+,2021,4,At least one vaccine dose,0.107,0.059000000000000004,0.133,0.069,0.040999999999999995,0.037000000000000005,2022-06-06
65+,2021,4,Completed vaccine series,0.017,0.018000000000000002,0.14,0.013999999999999999,0.026000000000000002,0.012,2022-06-06
45-64,2021,4,Completed vaccine series,0.034,0.033,0.054000000000000006,0.040999999999999995,0.034,0.015,2022-06-06
19-44,2021,4,Completed vaccine series,0.037000000000000005,0.017,0.023,0.031,0.016,0.013000000000000001,2022-06-06
18-Dec,2021,4,Completed vaccine series,0,0,0,0,0,0,2022-06-06
12+,2021,4,Completed vaccine series,0.027999999999999997,0.018000000000000002,0.040999999999999995,0.027999999999999997,0.013999999999999999,0.011000000000000001,2022-06-06
65+,2021,3,At least one vaccine dose,0.109,0.08,0.384,0.073,0.107,0.061,2022-06-06
11-May,2021,3,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,3,At least one vaccine dose,0.065,0.036000000000000004,0.09,0.046,0.023,0.021,2022-06-06
45-64,2021,3,At least one vaccine dose,0.07,0.07400000000000001,0.139,0.068,0.063,0.033,2022-06-06
19-44,2021,3,At least one vaccine dose,0.068,0.036000000000000004,0.052000000000000005,0.055,0.03,0.027999999999999997,2022-06-06
18-Dec,2021,3,At least one vaccine dose,0.002,0.001,0,0.001,0,0.001,2022-06-06
12+,2021,3,At least one vaccine dose,0.071,0.042,0.105,0.053,0.03,0.025,2022-06-06
65+,2021,3,Completed vaccine series,0.006,0.004,0.057999999999999996,0.006999999999999999,0.009000000000000001,0.004,2022-06-06
45-64,2021,3,Completed vaccine series,0.02,0.016,0.024,0.027000000000000003,0.021,0.008,2022-06-06
19-44,2021,3,Completed vaccine series,0.024,0.009000000000000001,0.011000000000000001,0.019,0.01,0.008,2022-06-06
18-Dec,2021,3,Completed vaccine series,0,0,0,0,0,0,2022-06-06
12+,2021,3,Completed vaccine series,0.017,0.009000000000000001,0.018000000000000002,0.018000000000000002,0.009000000000000001,0.006,2022-06-06
65+,2021,2,At least one vaccine dose,0.054000000000000006,0.043,0.3,0.028999999999999998,0.067,0.028999999999999998,2022-06-06
11-May,2021,2,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,2,At least one vaccine dose,0.045,0.026000000000000002,0.067,0.036000000000000004,0.017,0.015,2022-06-06
45-64,2021,2,At least one vaccine dose,0.053,0.055999999999999994,0.09699999999999999,0.055999999999999994,0.049,0.025,2022-06-06
19-44,2021,2,At least one vaccine dose,0.055,0.027999999999999997,0.038,0.046,0.023,0.021,2022-06-06
18-Dec,2021,2,At least one vaccine dose,0.001,0,0,0.001,0,0.001,2022-06-06
12+,2021,2,At least one vaccine dose,0.049,0.031,0.078,0.040999999999999995,0.023,0.018000000000000002,2022-06-06
65+,2021,2,Completed vaccine series,0.004,0.003,0.048,0.004,0.006,0.002,2022-06-06
45-64,2021,2,Completed vaccine series,0.012,0.009000000000000001,0.019,0.017,0.015,0.004,2022-06-06
19-44,2021,2,Completed vaccine series,0.013999999999999999,0.005,0.008,0.011000000000000001,0.006999999999999999,0.004,2022-06-06
18-Dec,2021,2,Completed vaccine series,0,0,0,0,0,0,2022-06-06
12+,2021,2,Completed vaccine series,0.01,0.005,0.013999999999999999,0.011000000000000001,0.006,0.003,2022-06-06
65+,2021,1,At least one vaccine dose,0.028999999999999998,0.028999999999999998,0.231,0.019,0.045,0.017,2022-06-06
11-May,2021,1,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2021,1,At least one vaccine dose,0.033,0.02,0.051,0.027999999999999997,0.013000000000000001,0.011000000000000001,2022-06-06
45-64,2021,1,At least one vaccine dose,0.040999999999999995,0.043,0.07400000000000001,0.046,0.040999999999999995,0.019,2022-06-06
19-44,2021,1,At least one vaccine dose,0.044000000000000004,0.021,0.028999999999999998,0.036000000000000004,0.018000000000000002,0.016,2022-06-06
18-Dec,2021,1,At least one vaccine dose,0.001,0,0,0.001,0,0,2022-06-06
12+,2021,1,At least one vaccine dose,0.036000000000000004,0.024,0.059000000000000004,0.032,0.018000000000000002,0.013999999999999999,2022-06-06
65+,2021,1,Completed vaccine series,0.001,0.001,0.043,0.001,0.003,0,2022-06-06
11-May,2021,1,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5+,2021,1,Completed vaccine series,0.002,0.001,0.009000000000000001,0.003,0.002,0.001,2022-06-06
45-64,2021,1,Completed vaccine series,0.003,0.003,0.012,0.005,0.005,0.001,2022-06-06
19-44,2021,1,Completed vaccine series,0.004,0.001,0.005,0.003,0.002,0.001,2022-06-06
18-Dec,2021,1,Completed vaccine series,0,0,0,0,0,0,2022-06-06
12+,2021,1,Completed vaccine series,0.003,0.001,0.01,0.003,0.002,0.001,2022-06-06
65+,2020,53,At least one vaccine dose,0.013999999999999999,0.015,0.113,0.01,0.02,0.009000000000000001,2022-06-06
45-64,2020,53,At least one vaccine dose,0.024,0.025,0.038,0.028999999999999998,0.026000000000000002,0.01,2022-06-06
19-44,2020,53,At least one vaccine dose,0.027999999999999997,0.012,0.018000000000000002,0.022000000000000002,0.012,0.009000000000000001,2022-06-06
18-Dec,2020,53,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
12+,2020,53,At least one vaccine dose,0.021,0.013000000000000001,0.031,0.02,0.011000000000000001,0.008,2022-06-06
65+,2020,53,Completed vaccine series,0,0,0,0,0,0,2022-06-06
45-64,2020,53,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,53,Completed vaccine series,0,0,0,0,0,0,2022-06-06
18-Dec,2020,53,Completed vaccine series,0,0,0,0,0,0,2022-06-06
12+,2020,53,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,52,At least one vaccine dose,0.003,0.002,0.053,0.004,0.006,0.002,2022-06-06
45-64,2020,52,At least one vaccine dose,0.011000000000000001,0.009000000000000001,0.02,0.016,0.015,0.004,2022-06-06
19-44,2020,52,At least one vaccine dose,0.013999999999999999,0.004,0.01,0.011000000000000001,0.006,0.004,2022-06-06
18-Dec,2020,52,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
12+,2020,52,At least one vaccine dose,0.01,0.005,0.016,0.011000000000000001,0.006,0.003,2022-06-06
65+,2020,52,Completed vaccine series,0,0,0,0,0,0,2022-06-06
45-64,2020,52,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,52,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,51,At least one vaccine dose,0.001,0,0.043,0,0,0,2022-06-06
11-May,2020,51,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
5+,2020,51,At least one vaccine dose,0.001,0,0.009000000000000001,0.001,0.001,0,2022-06-06
45-64,2020,51,At least one vaccine dose,0.002,0.001,0.011000000000000001,0.002,0.002,0.001,2022-06-06
19-44,2020,51,At least one vaccine dose,0.002,0.001,0.005,0.001,0.001,0.001,2022-06-06
18-Dec,2020,51,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
12+,2020,51,At least one vaccine dose,0.001,0.001,0.01,0.001,0.001,0.001,2022-06-06
65+,2020,51,Completed vaccine series,0,0,0,0,0,0,2022-06-06
45-64,2020,51,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,51,Completed vaccine series,0,0,0,0,0,0,2022-06-06
18-Dec,2020,51,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,50,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
11-May,2020,50,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
45-64,2020,50,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,50,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
65+,2020,50,Completed vaccine series,0,0,0,0,0,0,2022-06-06
45-64,2020,50,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,50,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,49,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
45-64,2020,49,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,49,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
65+,2020,49,Completed vaccine series,0,0,0,0,0,0,2022-06-06
11-May,2020,49,Completed vaccine series,0,0,0,0,0,0,2022-06-06
45-64,2020,49,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,49,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,48,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
45-64,2020,48,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,48,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
65+,2020,48,Completed vaccine series,0,0,0,0,0,0,2022-06-06
45-64,2020,48,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,48,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,47,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
45-64,2020,47,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,47,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
18-Dec,2020,47,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
12+,2020,47,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
65+,2020,47,Completed vaccine series,0,0,0,0,0,0,2022-06-06
45-64,2020,47,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,47,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,46,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
11-May,2020,46,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
45-64,2020,46,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,46,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
65+,2020,46,Completed vaccine series,0,0,0,0,0,0,2022-06-06
45-64,2020,46,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,46,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,45,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
45-64,2020,45,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,45,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
65+,2020,45,Completed vaccine series,0,0,0,0,0,0,2022-06-06
45-64,2020,45,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,45,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,44,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
45-64,2020,44,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,44,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
45-64,2020,44,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,44,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,43,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
45-64,2020,43,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,43,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,43,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,42,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,42,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
65+,2020,42,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,42,Completed vaccine series,0,0,0,0,0,0,2022-06-06
65+,2020,41,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
45-64,2020,41,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
19-44,2020,41,At least one vaccine dose,0,0,0,0,0,0,2022-06-06
65+,2020,41,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,41,Completed vaccine series,0,0,0,0,0,0,2022-06-06
19-44,2020,40,Completed vaccine series,0,0,0,0,0,0,2022-06-06
5-11,2022,19,At least one vaccine dose,0.37799999999999995,0.297,0.362,0.6709999999999999,0.236,0.342,2022-05-21
12-18,2022,19,At least one vaccine dose,0.5710000000000001,0.6509999999999999,0.62,0.928,0.295,0.684,2022-05-21
5-11,2022,19,Completed vaccine series,0.353,0.245,0.293,0.617,0.215,0.295,2022-05-21
12-18,2022,19,Completed vaccine series,0.546,0.574,0.5579999999999999,0.882,0.27699999999999997,0.624,2022-05-21
65+,2022,19,Up to date vaccine doses,0.82,0.8109999999999999,0.642,0.918,0.715,0.727,2022-05-21
5-11,2022,19,Up to date vaccine doses,0.35200000000000004,0.245,0.29100000000000004,0.617,0.215,0.294,2022-05-21
5+,2022,19,Up to date vaccine doses,0.494,0.354,0.376,0.5820000000000001,0.247,0.388,2022-05-21
45-64,2022,19,Up to date vaccine doses,0.504,0.527,0.462,0.7170000000000001,0.426,0.5660000000000001,2022-05-21
19-44,2022,19,Up to date vaccine doses,0.388,0.292,0.32799999999999996,0.502,0.231,0.36,2022-05-21
12-18,2022,19,Up to date vaccine doses,0.276,0.231,0.262,0.461,0.14400000000000002,0.27699999999999997,2022-05-21
12+,2022,19,Up to date vaccine doses,0.507,0.374,0.39,0.5770000000000001,0.257,0.407,2022-05-21
5-11,2022,18,At least one vaccine dose,0.377,0.295,0.36,0.669,0.236,0.341,2022-05-21
12-18,2022,18,At least one vaccine dose,0.57,0.649,0.619,0.927,0.295,0.6829999999999999,2022-05-21
5-11,2022,18,Completed vaccine series,0.35200000000000004,0.243,0.293,0.615,0.214,0.293,2022-05-21
12-18,2022,18,Completed vaccine series,0.546,0.573,0.557,0.882,0.27699999999999997,0.623,2022-05-21
5-11,2022,17,At least one vaccine dose,0.377,0.292,0.359,0.667,0.235,0.34,2022-05-21
12-18,2022,17,At least one vaccine dose,0.57,0.647,0.618,0.926,0.294,0.682,2022-05-21
5-11,2022,17,Completed vaccine series,0.35200000000000004,0.242,0.29100000000000004,0.612,0.214,0.292,2022-05-21
12-18,2022,17,Completed vaccine series,0.546,0.5710000000000001,0.556,0.8809999999999999,0.276,0.622,2022-05-21
5-11,2022,16,At least one vaccine dose,0.376,0.29,0.35700000000000004,0.665,0.234,0.33799999999999997,2022-05-21
12-18,2022,16,At least one vaccine dose,0.569,0.6459999999999999,0.617,0.926,0.294,0.6809999999999999,2022-05-21
5-11,2022,16,Completed vaccine series,0.35100000000000003,0.239,0.28800000000000003,0.61,0.213,0.29100000000000004,2022-05-21
12-18,2022,16,Completed vaccine series,0.545,0.57,0.555,0.88,0.276,0.621,2022-05-21
5-11,2022,15,At least one vaccine dose,0.375,0.28800000000000003,0.355,0.6629999999999999,0.233,0.336,2022-05-21
12-18,2022,15,At least one vaccine dose,0.569,0.644,0.616,0.925,0.294,0.68,2022-05-21
5-11,2022,15,Completed vaccine series,0.35,0.237,0.285,0.607,0.213,0.289,2022-05-21
12-18,2022,15,Completed vaccine series,0.545,0.569,0.5539999999999999,0.879,0.275,0.62,2022-05-21
5-11,2022,14,At least one vaccine dose,0.374,0.28600000000000003,0.354,0.66,0.232,0.33399999999999996,2022-05-21
12-18,2022,14,At least one vaccine dose,0.569,0.643,0.615,0.924,0.293,0.679,2022-05-21
5-11,2022,14,Completed vaccine series,0.349,0.235,0.284,0.603,0.212,0.287,2022-05-21
12-18,2022,14,Completed vaccine series,0.544,0.5670000000000001,0.5529999999999999,0.878,0.275,0.619,2022-05-21
5-11,2022,13,At least one vaccine dose,0.373,0.28300000000000003,0.353,0.657,0.231,0.33299999999999996,2022-05-21
12-18,2022,13,At least one vaccine dose,0.568,0.6409999999999999,0.614,0.923,0.293,0.6779999999999999,2022-05-21
5-11,2022,13,Completed vaccine series,0.348,0.232,0.282,0.598,0.211,0.285,2022-05-21
12-18,2022,13,Completed vaccine series,0.544,0.565,0.551,0.877,0.275,0.617,2022-05-21
5-11,2022,12,At least one vaccine dose,0.373,0.281,0.35,0.653,0.23,0.331,2022-05-21
12-18,2022,12,At least one vaccine dose,0.568,0.638,0.612,0.922,0.293,0.677,2022-05-21
5-11,2022,12,Completed vaccine series,0.34700000000000003,0.228,0.27899999999999997,0.594,0.21,0.28300000000000003,2022-05-21
12-18,2022,12,Completed vaccine series,0.544,0.563,0.55,0.8740000000000001,0.27399999999999997,0.616,2022-05-21
5-11,2022,11,At least one vaccine dose,0.37200000000000005,0.278,0.34700000000000003,0.649,0.23,0.32899999999999996,2022-05-21
12-18,2022,11,At least one vaccine dose,0.5670000000000001,0.637,0.611,0.921,0.292,0.675,2022-05-21
5-11,2022,11,Completed vaccine series,0.34600000000000003,0.224,0.276,0.588,0.208,0.27899999999999997,2022-05-21
12-18,2022,11,Completed vaccine series,0.5429999999999999,0.56,0.547,0.873,0.27399999999999997,0.614,2022-05-21
5-11,2022,10,At least one vaccine dose,0.371,0.27399999999999997,0.345,0.645,0.229,0.326,2022-05-21
12-18,2022,10,At least one vaccine dose,0.5670000000000001,0.634,0.61,0.919,0.292,0.674,2022-05-21
5-11,2022,10,Completed vaccine series,0.344,0.21899999999999997,0.273,0.581,0.207,0.275,2022-05-21
12-18,2022,10,Completed vaccine series,0.542,0.557,0.546,0.871,0.273,0.611,2022-05-21
5-11,2022,9,At least one vaccine dose,0.37,0.27,0.342,0.64,0.228,0.324,2022-05-21
12-18,2022,9,At least one vaccine dose,0.5670000000000001,0.632,0.609,0.917,0.29100000000000004,0.672,2022-05-21
5-11,2022,9,Completed vaccine series,0.342,0.213,0.27,0.573,0.205,0.26899999999999996,2022-05-21
12-18,2022,9,Completed vaccine series,0.541,0.5529999999999999,0.5429999999999999,0.8690000000000001,0.272,0.608,2022-05-21
5-11,2022,8,At least one vaccine dose,0.368,0.265,0.33899999999999997,0.634,0.226,0.319,2022-05-21
12-18,2022,8,At least one vaccine dose,0.5660000000000001,0.629,0.606,0.916,0.29100000000000004,0.67,2022-05-21
5-11,2022,8,Completed vaccine series,0.33799999999999997,0.203,0.261,0.56,0.201,0.26,2022-05-21
12-18,2022,8,Completed vaccine series,0.54,0.5479999999999999,0.539,0.866,0.271,0.605,2022-05-21
5-11,2022,7,At least one vaccine dose,0.366,0.258,0.335,0.626,0.224,0.314,2022-05-21
12-18,2022,7,At least one vaccine dose,0.565,0.625,0.604,0.914,0.29,0.667,2022-05-21
5-11,2022,7,Completed vaccine series,0.331,0.18600000000000003,0.248,0.527,0.195,0.244,2022-05-21
12-18,2022,7,Completed vaccine series,0.5379999999999999,0.54,0.535,0.8590000000000001,0.27,0.6,2022-05-21
5-11,2022,6,At least one vaccine dose,0.364,0.251,0.33,0.617,0.222,0.306,2022-05-21
12-18,2022,6,At least one vaccine dose,0.564,0.62,0.6,0.912,0.289,0.6629999999999999,2022-05-21
5-11,2022,6,Completed vaccine series,0.322,0.173,0.234,0.494,0.18899999999999997,0.226,2022-05-21
12-18,2022,6,Completed vaccine series,0.535,0.5329999999999999,0.53,0.852,0.268,0.593,2022-05-21
5-11,2022,5,At least one vaccine dose,0.361,0.241,0.32299999999999995,0.603,0.21899999999999997,0.298,2022-05-21
12-18,2022,5,At least one vaccine dose,0.563,0.615,0.596,0.908,0.28800000000000003,0.659,2022-05-21
5-11,2022,5,Completed vaccine series,0.313,0.157,0.221,0.464,0.183,0.21,2022-05-21
12-18,2022,5,Completed vaccine series,0.5329999999999999,0.525,0.526,0.845,0.266,0.586,2022-05-21
5-11,2022,4,At least one vaccine dose,0.355,0.223,0.309,0.574,0.213,0.282,2022-05-21
12-18,2022,4,At least one vaccine dose,0.561,0.607,0.5920000000000001,0.901,0.28600000000000003,0.653,2022-05-21
5-11,2022,4,Completed vaccine series,0.303,0.142,0.209,0.4270000000000001,0.175,0.193,2022-05-21
12-18,2022,4,Completed vaccine series,0.53,0.516,0.52,0.8370000000000001,0.264,0.579,2022-05-21
5-11,2022,3,At least one vaccine dose,0.34600000000000003,0.208,0.297,0.542,0.206,0.263,2022-05-21
12-18,2022,3,At least one vaccine dose,0.5579999999999999,0.598,0.586,0.893,0.284,0.645,2022-05-21
5-11,2022,3,Completed vaccine series,0.293,0.126,0.199,0.399,0.16699999999999998,0.17800000000000002,2022-05-21
12-18,2022,3,Completed vaccine series,0.527,0.507,0.517,0.83,0.261,0.573,2022-05-21
5-11,2022,2,At least one vaccine dose,0.336,0.191,0.28,0.511,0.199,0.247,2022-05-21
12-18,2022,2,At least one vaccine dose,0.555,0.589,0.58,0.8859999999999999,0.282,0.638,2022-05-21
5-11,2022,2,Completed vaccine series,0.284,0.113,0.188,0.37,0.159,0.168,2022-05-21
12-18,2022,2,Completed vaccine series,0.525,0.501,0.512,0.825,0.26,0.569,2022-05-21
5-11,2022,1,At least one vaccine dose,0.326,0.173,0.263,0.471,0.192,0.228,2022-05-21
12-18,2022,1,At least one vaccine dose,0.552,0.578,0.573,0.877,0.27899999999999997,0.629,2022-05-21
5-11,2022,1,Completed vaccine series,0.273,0.099,0.175,0.34,0.151,0.152,2022-05-21
12-18,2022,1,Completed vaccine series,0.522,0.494,0.507,0.818,0.258,0.564,2022-05-21
5-11,2021,52,At least one vaccine dose,0.316,0.155,0.249,0.441,0.184,0.211,2022-05-21
12-18,2021,52,At least one vaccine dose,0.5489999999999999,0.569,0.5660000000000001,0.87,0.278,0.623,2022-05-21
5-11,2021,52,Completed vaccine series,0.253,0.084,0.156,0.295,0.138,0.132,2022-05-21
12-18,2021,52,Completed vaccine series,0.518,0.488,0.502,0.81,0.256,0.5579999999999999,2022-05-21
5-11,2021,51,At least one vaccine dose,0.306,0.142,0.241,0.412,0.17600000000000002,0.199,2022-05-21
12-18,2021,51,At least one vaccine dose,0.546,0.56,0.563,0.865,0.276,0.618,2022-05-21
5-11,2021,51,Completed vaccine series,0.236,0.073,0.14,0.266,0.129,0.118,2022-05-21
12-18,2021,51,Completed vaccine series,0.515,0.484,0.498,0.8059999999999999,0.255,0.5539999999999999,2022-05-21
5-11,2021,50,At least one vaccine dose,0.29600000000000004,0.129,0.231,0.384,0.168,0.18600000000000003,2022-05-21
12-18,2021,50,At least one vaccine dose,0.544,0.5539999999999999,0.5589999999999999,0.8590000000000001,0.27399999999999997,0.614,2022-05-21
5-11,2021,50,Completed vaccine series,0.21899999999999997,0.063,0.123,0.233,0.118,0.107,2022-05-21
12-18,2021,50,Completed vaccine series,0.513,0.48,0.493,0.8009999999999999,0.254,0.551,2022-05-21
